code;name;sitecode;lat;lon;start;stop;teff;lm;f;nta
AGUSA;Salvador Aguirre;41153;29.2175;-110.7606;2009-09-26 10:34:00;2009-09-26 11:35:00;1.0000;6.200;1.000;2
AGUSA;Salvador Aguirre;41153;29.2175;-110.7606;2009-10-16 10:07:00;2009-10-16 11:08:00;1.0000;6.300;1.000;1
AGUSA;Salvador Aguirre;41153;29.2175;-110.7606;2009-10-18 08:03:00;2009-10-18 09:03:00;1.0000;6.300;1.000;1
AGUSA;Salvador Aguirre;41153;29.2175;-110.7606;2009-10-18 09:03:00;2009-10-18 10:03:00;1.0000;6.300;1.000;1
AGUSA;Salvador Aguirre;41153;29.2175;-110.7606;2009-10-18 10:03:00;2009-10-18 10:34:00;0.5000;6.300;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-10-20 08:12:00;2009-10-20 09:26:00;1.2000;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-10-21 06:53:00;2009-10-21 07:24:00;0.5000;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-10-21 07:25:00;2009-10-21 07:56:00;0.5000;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-10-21 07:56:00;2009-10-21 08:26:00;0.5000;6.200;1.000;1
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-10-21 08:32:00;2009-10-21 09:03:00;0.5000;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-10-21 09:04:00;2009-10-21 09:34:00;0.5000;6.200;1.000;1
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-10-21 09:36:00;2009-10-21 10:07:00;0.5000;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-10-21 10:09:00;2009-10-21 10:39:00;0.5000;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-10-21 10:46:00;2009-10-21 11:16:00;0.5000;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-10-21 11:17:00;2009-10-21 11:54:00;0.6000;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-10-22 06:22:00;2009-10-22 06:53:00;0.5000;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-10-22 06:54:00;2009-10-22 07:25:00;0.5000;6.200;1.000;1
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-10-22 07:26:00;2009-10-22 07:42:00;0.2600;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-10-22 07:43:00;2009-10-22 08:14:00;0.5000;6.200;1.000;1
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-10-22 08:15:00;2009-10-22 08:46:00;0.5000;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-10-22 09:17:00;2009-10-22 09:47:00;0.5000;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-10-22 09:48:00;2009-10-22 10:49:00;1.0000;6.200;1.000;2
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-10-22 10:50:00;2009-10-22 11:51:00;1.0000;6.200;1.000;1
AGUSA;Salvador Aguirre;41153;29.2175;-110.7606;2009-10-25 08:51:00;2009-10-25 09:51:00;1.0000;6.200;1.000;2
AGUSA;Salvador Aguirre;41153;29.2175;-110.7606;2009-10-25 09:52:00;2009-10-25 10:53:00;1.0000;6.200;1.000;1
AGUSA;Salvador Aguirre;41153;29.2175;-110.7606;2009-10-25 10:54:00;2009-10-25 11:54:00;1.0000;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-17 08:38:00;2009-11-17 08:53:00;0.2500;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-17 08:54:00;2009-11-17 09:09:00;0.2500;6.200;1.000;1
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-17 09:10:00;2009-11-17 09:25:00;0.2500;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-17 09:26:00;2009-11-17 09:41:00;0.2500;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-17 09:42:00;2009-11-17 09:57:00;0.2500;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-17 09:58:00;2009-11-17 10:13:00;0.2500;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-17 10:14:00;2009-11-17 10:29:00;0.2500;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-17 10:30:00;2009-11-17 10:45:00;0.2500;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-17 10:46:00;2009-11-17 11:01:00;0.2500;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-17 11:02:00;2009-11-17 11:17:00;0.2500;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-17 11:18:00;2009-11-17 11:33:00;0.2500;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-17 11:34:00;2009-11-17 11:49:00;0.2500;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-18 08:50:00;2009-11-18 09:10:00;0.3000;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-18 09:13:00;2009-11-18 09:28:00;0.2500;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-18 09:29:00;2009-11-18 09:44:00;0.2500;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-18 09:45:00;2009-11-18 10:00:00;0.2500;6.200;1.000;1
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-18 10:01:00;2009-11-18 10:16:00;0.2500;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-18 10:17:00;2009-11-18 10:32:00;0.2500;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-18 10:33:00;2009-11-18 10:48:00;0.2500;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-18 10:49:00;2009-11-18 11:04:00;0.2500;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-18 11:05:00;2009-11-18 11:20:00;0.2500;6.200;1.000;1
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-18 11:21:00;2009-11-18 11:36:00;0.2500;6.200;1.000;0
AGUSA;Salvador Aguirre;5370;29.3194;-110.8228;2009-11-18 11:37:00;2009-11-18 11:52:00;0.2500;6.200;1.000;0
AGUSA;Salvador Aguirre;41153;29.2175;-110.7606;2009-11-21 09:44:00;2009-11-21 11:08:00;1.4000;6.200;1.000;0
ALEPL;PLAMENA ALEXANDROVA;88906;42.6547;23.3422;2009-10-20 19:30:00;2009-10-20 22:00:00;2.2170;5.590;1.000;0
ALEPL;PLAMENA ALEXANDROVA;88906;42.6547;23.3422;2009-10-20 22:00:00;2009-10-20 23:30:00;1.2670;5.570;1.000;2
ALEPL;PLAMENA ALEXANDROVA;88906;42.6547;23.3422;2009-10-20 23:30:00;2009-10-21 00:30:00;0.6830;5.570;1.000;0
ALEPL;PLAMENA ALEXANDROVA;20017;42.6547;23.3422;2009-10-21 20:30:00;2009-10-21 21:30:00;0.9000;5.620;1.026;0
ALEPL;PLAMENA ALEXANDROVA;20017;42.6547;23.3422;2009-10-21 21:30:00;2009-10-21 22:30:00;0.8500;5.620;1.000;0
ALEPL;PLAMENA ALEXANDROVA;20017;42.6547;23.3422;2009-10-21 22:30:00;2009-10-21 23:30:00;0.8170;5.620;1.000;0
ALEPL;PLAMENA ALEXANDROVA;29560;42.4833;23.4167;2009-11-17 22:07:00;2009-11-17 22:20:00;0.2170;6.620;1.000;3
ALEPL;PLAMENA ALEXANDROVA;29560;42.4833;23.4167;2009-11-17 22:20:00;2009-11-17 22:30:00;0.1670;6.620;1.000;0
ALEPL;PLAMENA ALEXANDROVA;29560;42.4833;23.4167;2009-11-17 23:10:00;2009-11-17 23:20:00;0.1670;6.620;1.000;0
ALEPL;PLAMENA ALEXANDROVA;29560;42.4833;23.4167;2009-11-17 23:20:00;2009-11-17 23:40:00;0.3330;6.620;1.000;0
ALEPL;PLAMENA ALEXANDROVA;29560;42.4833;23.4167;2009-11-17 23:40:00;2009-11-18 00:00:00;0.3330;6.620;1.000;0
ALEPL;PLAMENA ALEXANDROVA;29560;42.4833;23.4167;2009-11-18 00:00:00;2009-11-18 00:20:00;0.3330;6.620;1.000;1
ALEPL;PLAMENA ALEXANDROVA;29560;42.4833;23.4167;2009-11-18 00:20:00;2009-11-18 00:40:00;0.3330;6.620;1.000;0
ALEPL;PLAMENA ALEXANDROVA;29560;42.4833;23.4167;2009-11-18 00:40:00;2009-11-18 00:50:00;0.1670;6.620;1.000;0
ALEPL;PLAMENA ALEXANDROVA;29560;42.4833;23.4167;2009-11-18 00:50:00;2009-11-18 01:00:00;0.1670;6.620;1.000;1
ALEPL;PLAMENA ALEXANDROVA;29560;42.4833;23.4167;2009-11-18 01:00:00;2009-11-18 01:20:00;0.3330;6.620;1.000;0
ALEPL;PLAMENA ALEXANDROVA;29560;42.4833;23.4167;2009-11-18 01:20:00;2009-11-18 01:30:00;0.1670;6.620;1.000;0
ALEPL;PLAMENA ALEXANDROVA;29560;42.4833;23.4167;2009-11-18 01:30:00;2009-11-18 01:45:00;0.2500;6.620;1.000;1
ALEPL;PLAMENA ALEXANDROVA;29560;42.4833;23.4167;2009-11-18 01:45:00;2009-11-18 02:00:00;0.2500;6.620;1.000;1
ALEPL;PLAMENA ALEXANDROVA;29560;42.4833;23.4167;2009-11-18 02:00:00;2009-11-18 02:10:00;0.1670;6.620;1.000;1
ALEPL;PLAMENA ALEXANDROVA;29560;42.4833;23.4167;2009-11-18 02:10:00;2009-11-18 02:30:00;0.3330;6.620;1.000;0
ATAJU;JURE ATANACKOV;49733;45.9847;14.2283;2009-10-20 00:21:00;2009-10-20 00:41:00;0.2830;6.680;1.000;0
ATAJU;JURE ATANACKOV;49733;45.9847;14.2283;2009-10-20 00:41:00;2009-10-20 01:01:00;0.3330;6.680;1.000;1
ATAJU;JURE ATANACKOV;49733;45.9847;14.2283;2009-10-20 01:01:00;2009-10-20 01:21:00;0.3170;6.680;1.000;0
ATAJU;JURE ATANACKOV;49733;45.9847;14.2283;2009-10-20 01:31:00;2009-10-20 01:54:00;0.3670;6.600;1.000;0
ATAJU;JURE ATANACKOV;49733;45.9847;14.2283;2009-10-20 01:54:00;2009-10-20 02:10:00;0.2670;6.540;1.000;0
ATAJU;JURE ATANACKOV;49733;45.9847;14.2283;2009-10-20 02:10:00;2009-10-20 02:31:00;0.3500;6.540;1.000;0
ATAJU;JURE ATANACKOV;49733;45.9847;14.2283;2009-10-20 02:31:00;2009-10-20 02:47:00;0.2500;6.520;1.000;0
ATAJU;JURE ATANACKOV;49733;45.9847;14.2283;2009-10-20 02:47:00;2009-10-20 03:04:00;0.2670;6.380;1.000;0
ATAJU;JURE ATANACKOV;49733;45.9847;14.2283;2009-10-20 03:04:00;2009-10-20 03:16:00;0.2000;6.320;1.000;0
ATAJU;JURE ATANACKOV;49733;45.9847;14.2283;2009-10-20 03:16:00;2009-10-20 03:33:00;0.2830;6.320;1.000;0
BADPI;PIERRE BADER;77728;49.8333;9.9500;2009-10-15 00:55:00;2009-10-15 01:50:00;0.8000;6.250;1.000;0
BADPI;PIERRE BADER;8661;49.8333;9.9500;2009-10-19 01:35:00;2009-10-19 02:15:00;0.6000;6.430;1.000;1
BADPI;PIERRE BADER;8661;49.8333;9.9500;2009-10-19 02:15:00;2009-10-19 02:48:00;0.5000;6.200;1.000;1
BADPI;PIERRE BADER;8661;49.8333;9.9500;2009-10-19 02:48:00;2009-10-19 03:20:00;0.5000;6.430;1.000;1
BADPI;PIERRE BADER;44531;49.8333;9.9500;2009-10-19 23:15:00;2009-10-19 23:46:00;0.5000;6.350;1.000;2
